   Compiling dytallix-contracts v0.1.0 (/Users/rickglenn/dytallix/smart-contracts)
   Compiling dytallix-node v0.1.0 (/Users/rickglenn/dytallix/blockchain-core)
   Compiling dytallix-lean-node v0.1.0 (/Users/rickglenn/dytallix/dytallix-lean-launch/node)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 18.77s
     Running `target/debug/dytallix-lean-node`
Secrets mode: Plain Keystore (dev) path=/Users/rickglenn/.dytallix/keystore — no passphrase required
Validator key loaded (64 bytes) via secure provider
Node listening on 0.0.0.0:3030
produced block height=32940 tx_total=0 successes=0
produced block height=32941 tx_total=0 successes=0
produced block height=32942 tx_total=0 successes=0
produced block height=32943 tx_total=0 successes=0
produced block height=32944 tx_total=0 successes=0
produced block height=32945 tx_total=0 successes=0
produced block height=32946 tx_total=0 successes=0
produced block height=32947 tx_total=0 successes=0
produced block height=32948 tx_total=0 successes=0
produced block height=32949 tx_total=0 successes=0
produced block height=32950 tx_total=0 successes=0
produced block height=32951 tx_total=0 successes=0
produced block height=32952 tx_total=0 successes=0
produced block height=32953 tx_total=0 successes=0
produced block height=32954 tx_total=0 successes=0
produced block height=32955 tx_total=0 successes=0
produced block height=32956 tx_total=0 successes=0
produced block height=32957 tx_total=0 successes=0
produced block height=32958 tx_total=0 successes=0
produced block height=32959 tx_total=0 successes=0
produced block height=32960 tx_total=0 successes=0
produced block height=32961 tx_total=0 successes=0
produced block height=32962 tx_total=0 successes=0
produced block height=32963 tx_total=0 successes=0
produced block height=32964 tx_total=0 successes=0
produced block height=32965 tx_total=0 successes=0
produced block height=32966 tx_total=0 successes=0
produced block height=32967 tx_total=0 successes=0
produced block height=32968 tx_total=0 successes=0
produced block height=32969 tx_total=0 successes=0
produced block height=32970 tx_total=0 successes=0
produced block height=32971 tx_total=0 successes=0
produced block height=32972 tx_total=0 successes=0
produced block height=32973 tx_total=0 successes=0
produced block height=32974 tx_total=0 successes=0
produced block height=32975 tx_total=0 successes=0
produced block height=32976 tx_total=0 successes=0
produced block height=32977 tx_total=0 successes=0
produced block height=32978 tx_total=0 successes=0
produced block height=32979 tx_total=0 successes=0
produced block height=32980 tx_total=0 successes=0
produced block height=32981 tx_total=0 successes=0
produced block height=32982 tx_total=0 successes=0
produced block height=32983 tx_total=0 successes=0
produced block height=32984 tx_total=0 successes=0
produced block height=32985 tx_total=0 successes=0
produced block height=32986 tx_total=0 successes=0
produced block height=32987 tx_total=0 successes=0
produced block height=32988 tx_total=0 successes=0
produced block height=32989 tx_total=0 successes=0
produced block height=32990 tx_total=0 successes=0
produced block height=32991 tx_total=0 successes=0
produced block height=32992 tx_total=0 successes=0
produced block height=32993 tx_total=0 successes=0
produced block height=32994 tx_total=0 successes=0
produced block height=32995 tx_total=0 successes=0
produced block height=32996 tx_total=0 successes=0
produced block height=32997 tx_total=0 successes=0
produced block height=32998 tx_total=0 successes=0
produced block height=32999 tx_total=0 successes=0
produced block height=33000 tx_total=0 successes=0
produced block height=33001 tx_total=0 successes=0
produced block height=33002 tx_total=0 successes=0
produced block height=33003 tx_total=0 successes=0
produced block height=33004 tx_total=0 successes=0
produced block height=33005 tx_total=0 successes=0
produced block height=33006 tx_total=0 successes=0
produced block height=33007 tx_total=0 successes=0
produced block height=33008 tx_total=0 successes=0
produced block height=33009 tx_total=0 successes=0
produced block height=33010 tx_total=0 successes=0
produced block height=33011 tx_total=0 successes=0
produced block height=33012 tx_total=0 successes=0
produced block height=33013 tx_total=0 successes=0
produced block height=33014 tx_total=0 successes=0
produced block height=33015 tx_total=0 successes=0
produced block height=33016 tx_total=0 successes=0
produced block height=33017 tx_total=0 successes=0
produced block height=33018 tx_total=0 successes=0
produced block height=33019 tx_total=0 successes=0
produced block height=33020 tx_total=0 successes=0
produced block height=33021 tx_total=0 successes=0
produced block height=33022 tx_total=0 successes=0
produced block height=33023 tx_total=0 successes=0
produced block height=33024 tx_total=0 successes=0
produced block height=33025 tx_total=0 successes=0
produced block height=33026 tx_total=0 successes=0
produced block height=33027 tx_total=0 successes=0
produced block height=33028 tx_total=0 successes=0
produced block height=33029 tx_total=0 successes=0
produced block height=33030 tx_total=0 successes=0
produced block height=33031 tx_total=0 successes=0
produced block height=33032 tx_total=0 successes=0
produced block height=33033 tx_total=0 successes=0
produced block height=33034 tx_total=0 successes=0
produced block height=33035 tx_total=0 successes=0
produced block height=33036 tx_total=0 successes=0
produced block height=33037 tx_total=0 successes=0
produced block height=33038 tx_total=0 successes=0
produced block height=33039 tx_total=0 successes=0
produced block height=33040 tx_total=0 successes=0
produced block height=33041 tx_total=0 successes=0
produced block height=33042 tx_total=0 successes=0
produced block height=33043 tx_total=0 successes=0
produced block height=33044 tx_total=0 successes=0
produced block height=33045 tx_total=0 successes=0
produced block height=33046 tx_total=0 successes=0
produced block height=33047 tx_total=0 successes=0
produced block height=33048 tx_total=0 successes=0
produced block height=33049 tx_total=0 successes=0
produced block height=33050 tx_total=0 successes=0
produced block height=33051 tx_total=0 successes=0
produced block height=33052 tx_total=0 successes=0
produced block height=33053 tx_total=0 successes=0
produced block height=33054 tx_total=0 successes=0
produced block height=33055 tx_total=0 successes=0
produced block height=33056 tx_total=0 successes=0
